index,D
781,0.689068116247654
782,0.689485639333725
783,0.6923258230090141
784,0.6959518790245056
785,0.685683973133564
786,0.6857163310050964
787,0.6687028333544731
788,0.6791630610823631
789,0.6830590292811394
790,0.6848700046539307
791,0.6882344856858253
792,0.6908866092562675
793,0.6827054992318153
794,0.672122947871685
795,0.6791239082813263
796,0.6735429912805557
797,0.6745895445346832
798,0.6828666925430298
799,0.6827722415328026
800,0.6737360805273056
801,0.6894570142030716
802,0.6803332790732384
803,0.6838892176747322
804,0.6770136654376984
805,0.6871338188648224
806,0.6787847578525543
807,0.6859876960515976
808,0.6926863193511963
809,0.6805565878748894
810,0.697285883128643
811,0.6851188987493515
812,0.6958107277750969
813,0.6764860302209854
814,0.6923047825694084
815,0.6786605045199394
816,0.6849043443799019
817,0.6874634698033333
818,0.6847216114401817
819,0.6884485706686974
820,0.6832856312394142
821,0.6857063323259354
822,0.6890677064657211
823,0.6864786371588707
824,0.6748307943344116
825,0.6963856220245361
826,0.6963795870542526
827,0.685514934360981
828,0.6974792331457138
829,0.6840024590492249
830,0.6980460956692696
831,0.6858557462692261
832,0.6872596219182014
833,0.6850185766816139
834,0.691258616745472
835,0.6914647370576859
836,0.6928318068385124
837,0.686768151819706
838,0.6852932199835777
839,0.6819738820195198
840,0.6726006418466568
841,0.6809600591659546
842,0.6796527355909348
843,0.6825810745358467
844,0.6830040514469147
845,0.6783127039670944
846,0.6853485032916069
847,0.6822265982627869
848,0.6818959563970566
849,0.6768309473991394
850,0.7004590630531311
851,0.6892580315470695
852,0.6857937574386597
853,0.6886259540915489
854,0.6836984157562256
855,0.6741324886679649
856,0.6840637102723122
857,0.6909740641713142
858,0.6779737919569016
859,0.6714886650443077
860,0.6953843310475349
861,0.6782674193382263
862,0.690289668738842
863,0.6879414990544319
864,0.6764087602496147
865,0.6866493076086044
866,0.6757971048355103
867,0.6849651411175728
868,0.6761872991919518
869,0.6915053501725197
870,0.6911827102303505
871,0.6962252110242844
872,0.6871041506528854
873,0.6826479807496071
874,0.6750592216849327
875,0.6901224181056023
